Sample_Identification,Provider,Study_Number,Sample_Accession,Experiment_Accession,Run_Accession,Median_DoublingTime_NoAntimicrbial,Median_GrowthYield_NoAntimicrbial,Median_DoublingTime_CAM_0.5,Median_GrowthYield_CAM_0.5,Median_DoublingTime_CAM_1,Median_GrowthYield_CAM_1,Median_DoublingTime_CAM_2,Median_GrowthYield_CAM_2,Median_DoublingTime_CIP_0.002,Median_GrowthYield_CIP_0.002,Median_DoublingTime_CIP_0.004,Median_GrowthYield_CIP_0.004,Median_DoublingTime_CIP_0.008,Median_GrowthYield_CIP_0.008,Median_DoublingTime_CTX_0.5,Median_GrowthYield_CTX_0.5,Median_DoublingTime_CTX_1,Median_GrowthYield_CTX_1,Median_DoublingTime_CTX_2,Median_GrowthYield_CTX_2,Median_DoublingTime_KAN_4,Median_GrowthYield_KAN_4,Median_DoublingTime_KAN_8,Median_GrowthYield_KAN_8,Median_DoublingTime_KAN_16,Median_GrowthYield_KAN_16,Median_DoublingTime_TET_0.3,Median_GrowthYield_TET_0.3,Median_DoublingTime_TET_0.6,Median_GrowthYield_TET_0.6,Median_DoublingTime_TET_1.25,Median_GrowthYield_TET_1.25,Median_DoublingTime_TRIM_0.125,Median_GrowthYield_TRIM_0.125,Median_DoublingTime_TRIM_0.25,Median_GrowthYield_TRIM_0.25,Median_DoublingTime_TRIM_0.5,Median_GrowthYield_TRIM_0.5,StandardDeviation_DoublingTime_NoAntimicrbial,StandardDeviation_GrowthYield_NoAntimicrobial,StandardDeviation_DoublingTime_CAM_0.5,StandardDeviation_GrowthYield_CAM_0.5,StandardDeviation_DoublingTime_CAM_1,StandardDeviation_GrowthYield_CAM_1,StandardDeviation_DoublingTime_CAM_2,StandardDeviation_GrowthYield_CAM_2,StandardDeviation_DoublingTime_CIP_0.002,StandardDeviation_GrowthYield_CIP_0.002,StandardDeviation_DoublingTime_CIP_0.004,StandardDeviation_GrowthYield_CIP_0.004,StandardDeviation_DoublingTime_CIP_0.008,StandardDeviation_GrowthYield_CIP_0.008,StandardDeviation_DoublingTime_CTX_0.5,StandardDeviation_GrowthYield_CTX_0.5,StandardDeviation_DoublingTime_CTX_1,StandardDeviation_GrowthYield_CTX_1,StandardDeviation_DoublingTime_CTX_2,StandardDeviation_GrowthYield_CTX_2,StandardDeviation_DoublingTime_KAN_4,StandardDeviation_GrowthYield_KAN_4,StandardDeviation_DoublingTime_KAN_8,StandardDeviation_GrowthYield_KAN_8,StandardDeviation_DoublingTime_KAN_16,StandardDeviation_GrowthYield_KAN_16,StandardDeviation_DoublingTime_TET_0.3,StandardDeviation_GrowthYield_TET_0.3,StandardDeviation_DoublingTime_TET_0.6,StandardDeviation_GrowthYield_TET_0.6,StandardDeviation_DoublingTime_TET_1.25,StandardDeviation_GrowthYield_TET_1.25,StandardDeviation_DoublingTime_TRIM_0.125,StandardDeviation_GrowthYield_TRIM_0.125,StandardDeviation_DoublingTime_TRIM_0.25,StandardDeviation_GrowthYield_TRIM_0.25,StandardDeviation_DoublingTime_TRIM_0.5,StandardDeviation_GrowthYield_TRIM_0.5
26329_1#211,Ed Moore,PRJEB23294,SAMEA4686237,ERX3490862,ERR3469199,0.573510204,-0.100196732,-0.565677832,-0.508058179,-0.353811452,0.342529436,-0.710267268,1.293833562,-0.24588384,0.441398645,-0.199669131,1.768038336,-0.166761194,4.213154533,-0.219134649,1.685400146,-0.138733103,2.597670287,-0.165764336,3.130712068,0.115477443,1.563427689,0.024062111,2.609126803,-0.436344685,3.924303939,-0.251842761,1.668683661,-0.853951551,3.635268202,-1.448530819,4.936537277,0.099560223,0.635809377,0.044494586,1.052824861,-0.080828454,1.91723963,0.263172985,0.211090546,0.316476761,0.444339277,0.374998912,0.598886191,0.361280313,0.786501335,0.277813995,0.335170528,0.332798515,0.939349591,0.363394534,1.003551818,0.490027659,0.36139887,0.428839876,1.551636698,0.522160525,2.207444989,0.356442673,0.596323527,0.372338237,0.662905157,0.576118886,2.015059903,0.383043261,0.505085871,0.36549216,0.564276255,0.421214532,0.807943003,0.234699868,0.691792084,0.262988276,0.836083445,0.279545298,0.779471511
26329_1#214,Ed Moore,PRJEB23294,SAMEA4686240,ERX3490865,ERR3469202,-0.094527315,0.030587363,-0.085076715,0.28479611,-0.297596997,0.777185333,-0.583946243,1.623870264,-0.152620112,1.011855979,-0.377165013,2.81120162,-0.334524918,4.457870645,-0.378722503,0.698740398,-0.250486924,0.850674662,-0.147948618,2.189092828,-0.168912073,0.98105731,-0.404479339,1.779454409,-1.015287495,1.853461393,0.103096615,1.401557463,-0.411925473,3.012945571,-0.271717594,3.724305249,-0.055414057,-0.714773579,-0.128061138,0.042711674,-0.24199505,1.622019346,0.066132026,0.098524717,0.104661391,0.15797898,0.097992791,0.152010085,0.116611931,0.277535624,0.193642074,0.114920724,0.167019515,0.558921365,0.212749568,0.773819955,0.192534907,0.289512965,0.220548015,0.375105052,0.181987345,1.937677024,0.082707374,0.297799431,0.104556501,0.369172504,0.224697572,1.660562308,0.295269104,0.305931811,0.260160086,0.540631891,0.477702693,0.930968844,0.131456497,0.412189768,0.179314057,0.339622182,0.175118474,0.800387047
26329_1#216,Ed Moore,PRJEB23294,SAMEA4686242,ERX3490867,ERR3469204,0.01544858,-1.452700887,-0.071074295,0.260975321,-0.317734662,0.88563246,-0.828110338,2.041585383,-0.214754508,1.203221954,-0.267035898,3.146349846,-0.411639796,4.700865517,-0.282724475,1.12304719,-0.29140886,1.461098982,-0.156913434,2.229405912,-0.070573433,1.945432218,-0.332457419,2.725461322,-0.696986414,2.415899819,-0.369387949,1.959878345,-0.890971588,4.665553672,-1.55064547,7.363222032,-0.11936433,1.118525693,-0.183147155,1.953359281,-0.465058531,3.275955989,0.122129191,0.110801449,0.174242986,0.203823132,0.170696734,0.250310787,0.254019874,0.337351232,0.141353777,0.273434682,0.136334436,0.595860839,0.152153443,0.602242337,0.280736665,0.439247377,0.213389707,0.431449982,0.331906947,0.540120404,0.222862841,0.43948998,0.179633875,0.347627493,0.234475936,0.576380118,0.243074329,0.392229341,0.286943662,0.741101357,0.219149832,0.620362019,0.159550496,0.286089375,0.205612206,0.512452403,0.15103968,0.554159394
26329_1#217,Ed Moore,PRJEB23294,SAMEA4686243,ERX3490868,ERR3469205,-0.51173362,-0.706338476,-0.173426195,0.069948697,-0.216010139,0.408437367,-0.483596804,1.256646878,-0.169414882,0.957956026,0.001900213,2.584999939,-0.119505624,2.917011674,-0.178470577,0.718958076,-0.168960886,0.732769019,0.022328955,1.065679065,-0.268591077,0.54239168,-0.339221532,1.42027019,-0.969033075,0.950364631,-0.146308836,1.337074182,-0.437436984,2.753309113,-0.970755938,3.051920926,0.161838123,-1.009644932,-0.044921501,-0.79397742,0.178332601,0.625769261,0.050198395,0.070442424,0.106371561,0.085498278,0.168629919,0.155301907,0.103638239,0.369460425,0.209985029,0.245069763,0.252020682,0.566300119,0.216196377,0.790679352,0.209718916,0.150566854,0.215388048,0.264450178,0.326936365,0.567827454,0.165451449,0.258508726,0.163735415,0.524438923,0.224865632,0.699698108,0.182875667,0.165971308,0.248480062,0.451301082,0.213318367,0.679467186,0.315201143,0.421855217,0.143832439,0.320406426,0.257275685,0.559124191
26329_1#219,Ed Moore,PRJEB23294,SAMEA4686245,ERX3490870,ERR3469207,0.236891711,0.056322998,0.290928025,0.036777409,0.146326462,0.122856897,-0.424815534,1.079522805,-0.051247534,1.176742373,-0.353215111,2.729298157,-0.278489536,3.438836503,-0.1251803,0.949142743,-0.127994262,1.066003414,-0.139137273,1.36050018,-0.141468425,0.587520142,-0.288853796,1.460297635,-0.597272402,0.791470884,-0.229635499,0.943530012,-0.527932224,2.263530215,-0.635284933,3.622858734,0.053002001,-0.389336882,0.052329262,-0.489370031,-0.108481635,0.21613059,0.160027163,0.156767897,0.237398943,0.25195198,0.199838285,0.205480548,0.200955787,0.412784568,0.144146358,0.436769915,0.1498292,0.687225717,0.13506419,0.739964267,0.098631131,0.273746148,0.113992696,0.287412453,0.206552051,1.195402407,0.094618668,0.346587553,0.118074817,0.529724383,0.201300553,0.485055142,0.130961292,0.247415324,0.266475997,0.545165115,0.316621456,0.6959266,0.12442855,0.281015545,0.125508092,0.427817874,0.179238771,0.39152313
26329_1#223,Ed Moore,PRJEB23294,SAMEA4686249,ERX3490874,ERR3469211,-0.452350625,-0.481903233,-0.065666643,0.307506624,-0.141649682,0.900477999,-0.512163373,1.455679333,-0.166321096,0.917818105,-0.403101528,2.81243051,-0.298358252,3.829956157,-0.527668449,0.439582105,-0.387774734,0.220111867,-0.300072083,1.340012334,-0.140825877,0.431527728,-0.153273843,0.661421688,-0.57272932,-0.052628404,0.123459713,1.953970095,-0.501592236,3.83185804,-0.97655837,4.544188244,0.086567188,-1.187422414,-0.107289398,-0.945950816,-0.106360756,-0.279423822,0.072866679,0.121496799,0.106474347,0.208971238,0.089610207,0.224831814,0.118387247,0.307423471,0.130930036,0.131679585,0.215089906,0.502118204,0.123833296,0.649941377,0.209652713,0.348105355,0.153658257,0.362898338,0.236843526,0.910928271,0.346100071,0.393544937,0.145426519,0.359758176,0.269211055,0.584211716,0.309911934,0.28469351,0.32876248,0.405193281,0.281515563,0.452082254,0.238050983,0.465903871,0.169595143,0.300883653,0.221331963,0.54055466
26329_1#224,Ed Moore,PRJEB23294,SAMEA4686250,ERX3490875,ERR3469212,0.028925533,-1.784815355,0.013766497,-0.878713732,0.2415249,-1.63968227,0.959491855,-2.442454273,-0.289511482,0.151957076,-0.374219966,2.066930771,-0.345637575,3.200973836,-0.217706398,-0.226026922,-0.175469654,-0.783663363,-0.106544196,0.559328274,-0.171074237,0.27840154,0.001820671,1.18936004,-0.337495833,1.144769328,0.397180021,1.297475753,-0.34036418,1.696581771,0.120923017,3.006956629,0.161749055,-1.586493199,0.190608203,-1.631070196,0.571612556,-0.602573689,0.132155422,0.140279379,0.200262046,0.297730252,0.157041161,0.894663477,0.219617996,0.382892197,0.288277955,0.449262626,0.186842918,0.500368367,0.192716943,0.36882939,0.160415656,0.558520643,0.195083497,0.515496048,0.140055295,0.495817236,0.249584417,0.477530358,0.252208715,0.681975937,0.278397108,0.712122665,0.40819187,0.308927304,0.385167894,1.294560542,0.448890319,0.814670404,0.183414487,0.818264296,0.194158482,0.708257163,0.210857175,0.549643719
26329_1#225,Ed Moore,PRJEB23294,SAMEA4686251,ERX3490876,ERR3469213,-0.347877075,-1.105934491,0.167714965,0.334243171,-0.256808145,0.444537892,-0.203558584,1.671110926,-0.192596116,0.757720919,-0.376042152,3.006013935,-0.417365281,4.34091444,-0.170040537,0.017006925,-0.294590278,-0.031721452,-0.089892447,0.805084295,-0.26442921,1.497525995,-0.496990933,2.313563348,-1.067089883,2.469161304,-0.485009988,1.956491461,-1.104491664,4.370071736,-1.564293983,7.492366156,-0.320366965,0.948018746,-0.274876689,2.448467383,-0.622574687,4.786939009,0.1546529,0.189375173,0.297629407,0.267702701,0.181087129,0.343315411,0.183742638,0.382107859,0.16863597,0.206769828,0.153364364,0.661998239,0.265268097,0.626196073,0.182678387,0.225372008,0.18897158,0.361126942,0.20271169,0.579827338,0.285187414,0.532778012,0.22886975,0.810361359,0.332856894,0.636395217,0.264892094,0.296074536,0.290323625,0.593202128,0.273010233,0.317332296,0.119477433,0.133539883,0.280791642,0.447388227,0.211935338,0.753665032
26329_1#227,Ed Moore,PRJEB23294,SAMEA4686253,ERX3490878,ERR3469215,-0.026152575,-0.549935193,-0.175694724,-0.311593037,-0.153293964,-0.531712078,-0.327707644,0.519056805,-0.266236839,0.367752654,-0.543876521,2.530589644,-0.257034583,4.161129116,-0.223120136,0.705852416,-0.019421506,0.819831518,-0.098990673,-0.309727283,-0.311153136,1.605165673,-0.424011491,3.12609515,-0.937240244,3.703524384,0.067639401,1.828739851,-0.154284039,2.615172261,-0.436018122,4.392138389,0.022365668,-0.152813917,-0.018411899,0.458620623,-0.03474275,2.138093196,0.059460748,0.090771047,0.11078495,0.17990928,0.145444191,0.127318772,0.111953475,0.382041025,0.117741631,0.323760055,0.195829276,0.428559816,0.200615179,0.345325689,0.155898137,0.389096534,0.165934161,0.337853659,0.212770276,0.443046839,0.111708349,0.279876931,0.089766115,0.475528299,0.195851279,0.558371278,0.302736437,0.413984948,0.385620205,0.56649581,0.333600293,0.979680139,0.162605368,0.424710928,0.171164999,0.2361414,0.15646264,0.312226138
26329_1#228,Ed Moore,PRJEB23294,SAMEA4686254,ERX3490879,ERR3469216,-0.189746089,-1.026865215,-0.11616776,-0.693952205,0.044260378,-0.645298388,0.046709245,0.22583455,-0.122673027,0.930315759,-0.319677405,2.607402473,-0.218088184,3.712017626,-0.191540164,0.580682144,-0.084915194,0.214373369,-0.148706546,-0.305589599,-0.405898363,1.569589218,-0.482447638,3.494151635,-1.181548557,4.248946432,-0.392279157,0.315912587,-0.748054171,2.051771298,-0.84236822,3.579468403,-0.115071449,-0.70872797,-0.108673094,0.026868088,-0.182720297,2.000533474,0.085703844,0.109829378,0.183290931,0.195369408,0.129733296,0.308429969,0.277280756,0.401514127,0.190514636,0.347690888,0.181053148,0.480687292,0.204290995,1.130044333,0.150065866,0.447933625,0.098748789,0.509412466,0.201642926,0.243792213,0.185841146,0.199043664,0.209592304,0.507429806,0.278222715,0.771540403,0.209785953,0.496443286,0.194837608,0.350100918,0.485641142,0.463081198,0.205639788,0.462438081,0.205608617,0.286929728,0.182554626,0.439533025
26329_1#229,Ed Moore,PRJEB23294,SAMEA4686255,ERX3490880,ERR3469217,-0.614281221,-2.211210604,-0.190630063,0.506822778,-0.356046891,0.999769433,-0.488901914,1.31204783,-0.147377069,0.731336923,-0.074133884,1.805050243,-0.351572229,2.216629,-0.24772105,0.056446382,-0.111140058,-0.074490619,-0.233734937,0.374127317,-0.352530608,1.633252709,-0.045854128,1.611722347,-0.764635491,1.03858549,-0.28327767,1.010756742,-0.643002495,3.829594286,-1.445018695,6.932643212,0.191118206,-0.384091274,0.130698529,-0.65930308,-0.042279477,0.871691093,0.076300494,0.184070991,0.153570073,0.359077505,0.214396425,0.249424661,0.169921037,0.652865944,0.214031832,0.317896579,0.182007674,0.361776151,0.166079611,0.703897223,0.227799214,0.599704234,0.197019591,0.45893803,0.300847706,0.522761338,0.29497396,0.665514842,0.218171773,1.085790977,0.248616616,0.716987015,0.244869496,0.53596315,0.264104227,0.62325218,0.301550703,0.932163862,0.183590066,0.522034567,0.364815301,0.608885503,0.191729748,0.717884779
26329_1#23,Christina Åhrén/Nahid Karami,PRJEB23294,SAMEA4686046,ERX3490674,ERR3469011,-0.156879946,-0.437046665,-0.199067791,0.141655756,-0.254476824,0.304560392,-0.839195675,1.261552613,-0.147835562,1.158520859,-0.031409102,3.626634193,-0.297993859,6.050985744,-0.07307132,6.23105841,0.010607609,7.243030338,0.243742972,7.72744428,-0.110180712,0.965207648,-0.530151115,2.547401001,-1.08600422,1.780378834,-0.693348982,1.643761077,-0.532447363,5.204118476,-1.49901556,6.635243572,0.089908393,1.910026495,-0.12431726,2.018612792,-0.193741833,4.983240741,0.225115878,0.227441313,0.250509394,0.318687939,0.248679394,0.299560894,0.24331519,0.29059268,0.205357885,0.403944166,0.231622429,0.589650468,0.190976172,0.710199724,0.242343519,1.24020564,0.190466369,1.244838885,0.233347286,0.99666556,0.109890154,0.497569696,0.098788529,0.432707417,0.172968685,0.997259048,0.273288499,0.34405692,0.328347018,0.541745907,0.260858403,0.586923056,0.206036669,0.58227153,0.107453824,0.44305026,0.212085838,1.23034374
26329_1#230,Ed Moore,PRJEB23294,SAMEA4686256,ERX3490881,ERR3469218,-0.200421303,-0.804835374,-0.158543186,-0.090981796,-0.152047069,0.218224654,-0.352782978,0.887106056,-0.050121837,1.036580971,-0.077361957,2.349112109,-0.311445979,1.744394211,-0.303872004,0.216952005,-0.162585286,0.13881265,-0.098035005,0.264822333,-0.373362066,0.922046804,-0.332903404,1.543370068,-0.655574058,1.085729019,0.097296019,0.803965996,-0.165264079,1.572711428,-0.488137801,2.821570898,0.166150268,0.090551089,-0.011419009,0.178522173,0.018005759,1.622250255,0.068840683,0.068178308,0.122922071,0.138935736,0.09837132,0.086693819,0.150660213,0.252847122,0.10415893,0.275224369,0.142339122,0.416602038,0.097986766,0.356907986,0.186287722,0.221652625,0.26090677,0.317937685,0.146409555,0.235276616,0.305617401,0.134753448,0.323094132,0.282832264,0.310143078,0.374703127,0.278139419,0.411436054,0.278990247,0.770255284,0.314097212,0.908154648,0.141089656,0.283725926,0.147181173,0.197720356,0.201104229,0.37303964
26329_1#233,Ed Moore,PRJEB23294,SAMEA4686259,ERX3490884,ERR3469221,-0.372701675,-0.144577148,0.022478025,0.301473642,-0.222285554,0.682546466,-0.535200369,1.530255189,0.029913867,0.835389235,-0.165880759,2.606552627,-0.073588031,3.477828561,-0.24522859,0.432721725,-0.235386468,0.055653075,-0.247470445,0.761049183,-0.312126112,-0.007889467,-0.001205264,0.826135108,-0.395512162,0.253989112,-0.281694466,1.327027078,-0.721252176,3.259079788,-1.428236207,3.813784853,0.094870505,-1.273637889,-0.069507075,-0.408333643,-0.073933189,0.173160413,0.164604512,0.300159787,0.497020845,0.381975986,0.208173233,0.329085686,0.217676906,0.44016836,0.400367138,0.204588563,0.422915354,0.370261694,0.397538388,0.641912835,0.238690462,0.369160213,0.259047993,0.498982264,0.286331707,0.583291815,0.108640239,0.219504584,0.560875528,0.379891166,0.341421136,0.52426425,0.318902859,0.314609908,0.310591842,0.467523885,0.338193562,0.63413871,0.218708951,0.459819317,0.173423117,0.255151948,0.273596918,0.525723905
26329_1#234,NA,PRJEB23294,SAMEA4686260,ERX3490885,ERR3469222,-0.395021913,-1.68772472,-0.035468332,-0.304221603,-0.02913263,0.145255543,-0.29994154,0.121080421,0.018131932,0.558431334,-0.123381348,2.593337425,-0.120040246,3.743436312,-0.365004714,2.465224994,-0.311447558,2.860530738,-0.215821179,3.658187427,-0.183109378,0.211281459,-0.305209194,2.041015431,-0.792581156,1.37249979,0.103434806,0.872912613,-0.11718876,1.642809101,-0.273352156,2.03677069,-0.331720382,0.048543841,-0.413453593,0.251698335,-0.441229131,1.670405838,0.099380901,0.103313788,0.132376272,0.189249908,0.118417558,0.196094238,0.205799952,0.352362468,0.226060167,0.112442966,0.20774257,0.519009704,0.206795659,0.581594187,0.231261543,0.979856673,0.162996935,0.809635679,0.225789787,0.924766715,0.174818001,0.45185359,0.166181409,0.493472727,0.300735349,1.395761481,0.221682774,0.220591198,0.248711329,0.280295029,0.257936593,0.521855933,0.237924522,0.439838087,0.225692908,0.547007153,0.181336985,0.422032709
26329_1#236,Ed Moore,PRJEB23294,SAMEA4686262,ERX3490887,ERR3469224,-0.146771631,-2.041082152,-0.372958851,0.097144775,-0.007208285,0.030432196,-0.196548007,1.345713994,-0.289447315,1.548533486,-0.463078212,3.095372999,-0.347002104,4.305161873,-0.119160742,-0.07305035,-0.211259643,1.013989432,-0.339175857,1.215072035,-0.127553023,0.336269205,-0.10954457,1.081823319,-0.038661913,1.360926143,-0.159169734,2.577021353,-0.953488271,4.895294838,-1.461750185,7.711539046,-0.046005237,-0.133773699,-0.326606913,-0.258169037,-0.213362392,2.030110121,0.111048896,0.218408401,0.158654921,0.332408316,0.152473006,0.27036921,0.275764031,0.260711479,0.255677439,0.378111503,0.279628563,0.483578063,0.29664513,0.782631403,0.355567766,1.125030987,0.258418836,0.544451471,0.263744568,0.540673015,0.21118185,0.295696037,0.257392176,0.768160321,0.400673826,0.499570303,0.22254903,0.489983954,0.211961754,0.484055459,0.340792413,0.463007091,0.442961715,0.87615714,0.443226559,1.129626671,0.38915358,0.851137221
26329_1#237,Ed Moore,PRJEB23294,SAMEA4686263,ERX3490888,ERR3469225,-0.053235155,-1.035691191,-0.142103321,-0.240644379,-0.048161669,0.189857755,-0.327900549,0.474590983,-0.257818101,1.246541551,-0.448484502,3.221071264,-0.241225698,4.610188246,-0.326333473,0.70622097,-0.393158457,0.622256205,-0.294172169,0.701333735,-0.300046493,1.791357963,-0.494928635,3.251114785,-0.754247196,3.080368493,-0.374265415,0.75300735,-0.517299761,2.322555965,-0.795163225,4.316365687,-0.196085117,0.684673825,-0.190092578,1.266983362,-0.310298076,3.093448916,0.110177434,0.08894588,0.139800082,0.166929055,0.209880522,0.297649325,0.289264199,0.294947418,0.196583482,0.226765869,0.220443372,0.342551347,0.298492884,0.576792988,0.346342564,0.656574458,0.260420506,0.338703621,0.280722935,0.338929009,0.149666753,0.290236692,0.208960917,0.391716137,0.204347669,0.40964178,0.219858781,0.352896173,0.21082651,0.397766271,0.251029941,1.058359546,0.154951206,0.500722714,0.303105879,0.819310298,0.161071322,0.719112418
26329_1#238,Ed Moore,PRJEB23294,SAMEA4686264,ERX3490889,ERR3469226,-0.364646955,-0.618376916,-0.187689848,0.280511117,-0.173794501,0.74100239,-0.501296809,1.708560793,-0.178392677,1.333130426,-0.241245753,2.93843239,-0.363331931,3.522023224,-0.256284307,0.090501261,-0.141224207,0.137045918,-0.209049471,0.176316879,-0.257323916,0.637911939,-0.214642896,0.314198562,-0.350847489,-0.411524132,-0.026431218,1.062498459,-0.234051464,2.301639563,-0.203887874,2.77017774,-0.053556811,0.431130518,-0.306946164,0.338617903,-0.397103998,1.794739345,0.113111416,0.11300455,0.169455929,0.152200176,0.129626666,0.186565383,0.254455814,0.310873665,0.105190205,0.247560848,0.134910608,0.45857032,0.149486581,0.566789866,0.248047825,0.351693791,0.368436781,0.32187775,0.209082995,0.366647588,0.166416394,0.444397824,0.206389028,0.811591581,0.223890104,0.618164441,0.27119776,0.31780493,0.280124284,0.431675106,0.362404136,0.582284656,0.170588638,0.42426518,0.206773789,0.494227199,0.179572822,0.59827996
26329_1#24,Christina Åhrén/Nahid Karami,PRJEB23294,SAMEA4686047,ERX3490675,ERR3469012,-0.250304961,-0.629726941,0.090953696,0.260093448,0.208054366,0.405968987,-0.299450512,1.022880324,-0.183894535,1.241860952,-0.087986553,3.271999933,-0.258554859,4.371911882,-0.016387721,4.162238895,0.127323885,4.869568244,0.3189214,6.197863738,-0.13626259,1.004191802,-0.319821603,2.278258326,-0.68039961,1.664301773,-0.308299513,1.019769585,-0.306277359,2.258426944,-0.890321557,2.6422494,0.144354807,-0.012086201,-0.10991242,0.024568865,0.15192154,2.143546423,0.178335071,0.20748575,0.297686322,0.266011078,0.224726244,0.286569763,0.282273465,0.292616496,0.199916735,0.414166423,0.287182031,0.865175435,0.21807666,1.139289386,0.348780455,1.553754269,0.357494538,1.028326257,0.497787093,1.178331474,0.131451322,0.364360808,0.173133846,0.514821374,0.210315842,0.973931851,0.398745271,0.279992907,0.372887215,0.307231536,0.364066842,0.717109323,0.200274526,0.358464103,0.158256611,0.371808048,0.34671954,0.977341455
26329_1#240,Ed Moore,PRJEB23294,SAMEA4686266,ERX3490891,ERR3469228,-0.095768698,-0.983245299,-0.436998822,0.058866779,-0.171920301,0.685990512,-0.502764601,2.17709182,-0.255100252,1.09178092,-0.392526943,2.768605036,-0.341071772,4.080340588,-0.112299169,1.170503985,-0.222149899,1.381756718,-0.014832333,1.044598485,-0.145835588,1.10074452,-0.211580466,1.99637261,-0.863034745,1.837784039,-0.352711667,1.241489982,-0.658846983,3.044364714,-1.069252154,3.97455017,-0.127615551,0.374774974,-0.21898494,1.304682063,-0.357991642,2.609772738,0.077890096,0.041247381,0.142593567,0.141516933,0.147876182,0.149349201,0.179008454,0.288078027,0.189938786,0.19919122,0.308173507,0.477985705,0.209127189,0.606645293,0.217618354,0.258272511,0.170888173,0.346379436,0.166756461,0.217932566,0.22512306,0.252644845,0.195102359,0.569216439,0.209392063,0.535882023,0.23566128,0.301734595,0.246629678,0.359845938,0.250358125,0.461073317,0.122193888,0.166282844,0.149174387,0.237574265,0.1294305,0.446773217
26329_1#242,Ed Moore,PRJEB23294,SAMEA4686268,ERX3490893,ERR3469230,-0.878175029,-0.326042985,-0.260363402,-0.185820679,-0.192705498,0.519194602,-0.434049016,1.575581632,-0.220214547,1.208467442,0.056451062,3.658108781,-0.231295377,3.880438217,-0.185159747,-0.767393603,-0.19633817,-0.744660543,-0.140650282,-0.841264568,-0.250562916,1.558074479,-0.365967734,1.716030028,-0.781100862,0.609463676,-0.111998339,1.67307434,-0.50520694,3.486601043,-0.644015031,2.906661667,0.240393462,-0.63411993,-0.069995951,-0.924442116,0.073096141,0.671956273,0.188168301,0.147403888,0.206174749,0.252718461,0.252048433,0.279097637,0.225727807,0.325182361,0.148558609,0.416197165,0.228134322,0.52105634,0.155719096,0.568419287,0.346874046,0.2214526,0.242008697,0.438811317,0.262539014,0.605595777,0.370694898,0.613080143,0.309452493,0.547280804,0.424428731,1.122735652,0.220133623,0.277747159,0.171826709,0.52806359,0.277854548,0.746038469,0.183436334,0.340189832,0.166420841,0.408599018,0.172783117,0.369361521
26329_1#243,Ed Moore,PRJEB23294,SAMEA4686269,ERX3490894,ERR3469231,-0.23797483,-0.871717849,0.013224111,-0.26836045,-0.007166583,-0.182066453,-0.152966142,0.441159831,-0.1994656,0.283399377,-0.362463409,0.813298753,-0.278914864,0.054183392,-0.150490293,-0.25728112,-0.044894929,-0.802520273,0.390954036,-0.734764534,-0.186597376,1.468593958,-0.269891561,2.534784734,-0.789437179,3.49476522,0.363633588,0.676899107,0.216784047,1.178061267,-0.431161585,2.627627772,-0.124795137,-1.637989919,-0.232446679,-0.51046219,-0.445899808,1.462010297,0.076441427,0.143617598,0.131517167,0.285248545,0.20804698,0.166565901,0.221476943,0.441539234,0.244959947,0.398096953,0.257420614,0.591702784,0.230068095,0.441638253,0.190575089,0.431168779,0.148293857,0.420877296,0.296379909,0.541406412,0.127151248,0.191967327,0.199965819,0.500189831,0.242050479,0.412838231,0.1979354,0.364203724,0.265369945,0.691588581,0.432379255,1.330626521,0.377555939,0.680083491,0.351322699,0.691882579,0.309818715,0.404932236
26329_1#246,Ed Moore,PRJEB23294,SAMEA4686272,ERX3490897,ERR3469234,-0.25708131,-3.1707837,-0.177756784,-0.78326534,0.133953851,-0.152982455,0.069912316,0.541615822,-0.400604449,0.983970783,-0.472329523,2.656272595,-0.487211991,3.598805867,-0.578714851,0.696129691,-0.426949453,1.574961928,-0.147493311,1.615019933,-0.083164662,-0.54267015,0.214451529,-0.114736654,0.411949019,2.132785734,-0.130560177,0.957508101,-0.63399424,1.968656593,-0.570076656,3.258668108,-0.394039155,0.591370115,-0.425679561,1.239006603,-0.475350472,3.289469642,0.104992331,0.275849939,0.138028259,0.515834601,0.162146626,0.486036726,0.195268956,0.755678595,0.271909443,0.401173076,0.265876737,0.860030854,0.278810362,1.298709515,0.253847304,0.535927216,0.25185107,0.236907946,0.185530982,0.374302952,0.264533869,0.64771602,0.324531245,0.562587707,0.313086445,1.043780955,0.501224699,1.280254215,0.449062347,0.517287396,0.450017071,0.659084359,0.24389965,0.604157511,0.246005889,0.512174731,0.16733952,0.587181103
